CountryName,ResourceRent,Agriculture,Forest
Aruba,0.00,2.33,11.11
Afghanistan,0.69,2.07,58.07
Angola,16.35,46.31,47.48
Albania,1.70,28.12,43.13
Andorra,0.00,34.04,39.96
Arab World,17.69,1.68,36.61
United Arab Emirates,13.69,4.56,5.47
Argentina,1.32,9.80,54.34
Armenia,5.82,11.67,58.90
American Samoa,0.00,87.50,24.50
Antigua and Barbuda,0.00,22.27,20.45
Australia,7.21,16.26,48.24
Austria,0.14,46.91,32.36
Azerbaijan,21.02,14.10,57.74
Burundi,16.21,10.93,79.17
Belgium,0.02,22.58,44.61
Benin,5.76,37.79,33.26
Burkina Faso,19.94,19.34,44.23
Bangladesh,0.66,10.96,70.63
Bulgaria,1.43,35.37,46.25
Bahrain,3.52,0.78,11.05
"Bahamas, The",0.02,51.45,1.40
Bosnia and Herzegovina,1.31,42.68,43.14
Belarus,1.38,42.63,42.04
Belize,1.00,59.68,7.01
Bermuda,,18.52,5.56
Bolivia,6.93,50.29,34.79
Brazil,3.53,58.93,33.92
Barbados,0.07,14.65,23.26
Brunei Darussalam,17.91,72.11,2.73
Bhutan,3.95,72.48,13.61
Botswana,1.04,18.95,45.63
Central African Republic,13.58,35.56,8.15
Canada,1.73,38.16,6.89
Central Europe and the Baltics,0.70,34.25,46.72
Switzerland,0.01,31.83,38.36
Channel Islands,,4.04,46.46
Chile,11.48,24.26,21.17
China,1.50,22.35,56.21
Cote d'Ivoire,3.32,32.71,64.78
Cameroon,6.58,39.34,20.63
"Congo, Dem. Rep.",32.70,67.17,11.56
"Congo, Rep.",42.67,65.35,31.12
Colombia,4.32,52.70,40.26
Comoros,2.38,19.67,71.47
Cabo Verde,0.75,22.55,19.60
Costa Rica,1.18,54.57,34.46
Caribbean small states,5.54,85.03,6.27
Cuba,0.57,31.28,59.86
Curacao,,,
Cayman Islands,,52.92,11.25
Cyprus,0.02,18.69,12.16
Czech Republic,0.31,34.56,45.18
Germany,0.07,32.69,47.68
Djibouti,0.67,0.24,73.43
Dominica,0.07,57.41,33.33
Denmark,0.51,14.70,62.01
Dominican Republic,2.53,41.73,48.69
Algeria,14.71,0.82,17.37
East Asia & Pacific (excluding high income),1.87,29.81,48.81
Early-demographic dividend,5.07,21.85,41.47
East Asia & Pacific,1.57,26.36,47.78
Europe & Central Asia (excluding high income),7.05,38.91,28.18
Europe & Central Asia,1.37,38.06,29.34
Ecuador,5.51,50.21,22.21
"Egypt, Arab Rep.",5.40,0.07,3.75
Euro area,0.11,38.34,43.04
Eritrea,,14.91,75.17
Spain,0.10,36.94,52.58
Estonia,1.05,51.34,23.07
Ethiopia,10.55,12.54,36.26
European Union,0.23,38.09,42.82
Fragile and conflict affected situations,17.98,27.21,31.07
Finland,0.58,73.11,7.49
Fiji,1.64,55.94,23.26
France,0.04,31.23,52.45
Faroe Islands,,0.06,2.15
"Micronesia, Fed. Sts.",0.04,91.86,31.43
Gabon,18.41,90.04,20.03
United Kingdom,0.44,13.07,71.71
Georgia,1.08,40.62,34.45
Ghana,13.06,41.16,69.00
Gibraltar,,0.00,
Guinea,20.18,25.75,59.01
"Gambia, The",5.75,48.38,59.78
Guinea-Bissau,16.33,69.77,57.97
Equatorial Guinea,24.25,55.49,10.12
Greece,0.13,31.69,47.60
Grenada,0.00,49.97,23.53
Greenland,,0.00,0.59
Guatemala,2.03,32.70,35.98
Guam,0.00,46.30,33.33
Guyana,25.33,83.90,8.64
High income,1.23,28.96,35.12
"Hong Kong SAR, China",0.00,,4.76
Honduras,2.09,39.97,28.91
Heavily indebted poor countries (HIPC),10.49,30.52,38.60
Croatia,0.67,34.35,27.59
Haiti,1.24,3.49,66.76
Hungary,0.29,22.91,58.36
IBRD only,3.52,33.85,36.80
IDA & IBRD total,3.77,31.84,38.27
IDA total,7.09,26.03,42.54
IDA blend,6.86,19.92,52.76
Indonesia,3.48,49.86,31.46
IDA only,7.28,28.05,39.15
Isle of Man,,6.07,69.82
India,2.14,23.83,60.45
Not classified,,,
Ireland,0.14,11.03,64.54
"Iran, Islamic Rep.",17.78,6.56,28.21
Iraq,37.98,1.90,21.42
Iceland,0.00,0.50,18.67
Israel,0.14,7.73,24.58
Italy,0.07,31.79,43.23
Jamaica,1.21,30.92,41.00
Jordan,0.73,1.10,12.01
Japan,0.03,68.46,12.26
Kazakhstan,16.19,1.23,80.38
Kenya,2.48,7.82,48.55
Kyrgyz Republic,8.45,3.28,54.96
Cambodia,1.73,52.85,30.90
Kiribati,0.08,15.00,41.98
St. Kitts and Nevis,0.00,42.31,23.08
"Korea, Rep.",0.03,63.35,17.45
Kuwait,37.14,0.35,8.42
Latin America & Caribbean (excluding high income),3.30,47.28,37.96
Lao PDR,10.19,82.11,10.26
Lebanon,0.00,13.43,64.32
Liberia,25.20,43.08,28.03
Libya,38.47,0.12,8.72
St. Lucia,0.02,33.18,17.38
Latin America & Caribbean,3.67,46.16,37.66
Least developed countries: UN classification,8.38,29.13,38.76
Low income,11.72,25.21,39.77
Liechtenstein,,43.13,32.25
Sri Lanka,0.14,32.90,43.69
Lower middle income,3.70,28.80,45.85
Low & middle income,3.75,31.93,38.31
Lesotho,5.89,1.65,77.64
Late-demographic dividend,3.49,39.04,35.84
Lithuania,0.33,34.83,47.16
Luxembourg,0.01,35.68,53.71
Latvia,0.86,53.98,31.06
"Macao SAR, China",0.00,,
St. Martin (French part),,,
Morocco,1.63,12.60,68.54
Monaco,,,
Moldova,0.28,12.58,74.22
Madagascar,10.28,21.41,71.18
Maldives,0.01,3.33,26.33
Middle East & North Africa,16.19,2.07,33.30
Mexico,2.88,33.92,54.65
Marshall Islands,0.00,70.22,63.89
Middle income,3.63,33.10,38.06
North Macedonia,1.91,39.57,50.16
Mali,11.40,3.80,33.77
Malta,0.00,1.09,32.44
Myanmar,7.14,43.63,19.54
Middle East & North Africa (excluding high income),15.27,2.52,22.86
Montenegro,1.34,61.49,18.96
Mongolia,40.52,8.02,71.49
Northern Mariana Islands,0.00,63.78,6.52
Mozambique,19.47,47.98,63.52
Mauritania,24.12,0.21,38.53
Mauritius,0.00,19.03,42.36
Malawi,9.60,33.19,61.41
Malaysia,6.31,67.60,26.26
North America,0.57,36.04,25.69
Namibia,4.55,8.31,47.14
New Caledonia,,45.90,10.08
Niger,13.30,0.89,36.06
Nigeria,8.67,7.23,77.74
Nicaragua,3.46,25.88,42.09
Netherlands,0.36,11.18,53.31
Norway,5.92,33.18,2.69
Nepal,1.13,25.36,28.75
Nauru,0.00,0.00,20.00
New Zealand,1.04,38.56,40.45
OECD members,0.70,31.38,34.31
Oman,23.49,0.01,4.64
Other small states,10.33,25.99,40.47
Pakistan,1.05,1.85,47.79
Panama,0.19,61.89,30.36
Peru,8.91,57.66,18.51
Philippines,1.21,27.77,41.72
Palau,0.00,87.61,10.87
Papua New Guinea,21.83,74.10,2.63
Poland,0.96,30.88,46.94
Pre-demographic dividend,14.58,28.17,41.32
Puerto Rico,,56.29,22.29
"Korea, Dem. People’s Rep.",,40.73,21.84
Portugal,0.35,34.61,39.45
Paraguay,1.55,37.75,55.08
West Bank and Gaza,0.00,1.52,49.32
Pacific island small states,3.94,61.56,13.44
Post-demographic dividend,0.60,31.69,33.73
French Polynesia,,42.35,12.43
Qatar,17.95,0.00,5.77
Romania,0.85,30.12,58.77
Russian Federation,10.70,49.76,13.29
Rwanda,5.90,19.73,73.44
South Asia,1.86,17.51,56.81
Saudi Arabia,23.76,0.45,80.76
Sudan,4.62,,
Senegal,3.82,42.76,46.06
Singapore,0.00,23.06,0.93
Solomon Islands,22.60,77.86,3.86
Sierra Leone,22.15,43.05,54.71
El Salvador,0.94,12.58,76.45
San Marino,0.00,0.00,16.67
Somalia,15.18,10.02,70.34
Serbia,1.31,31.12,39.33
Sub-Saharan Africa (excluding high income),9.26,27.55,43.69
South Sudan,,,
Sub-Saharan Africa,9.25,27.56,43.69
Small states,9.52,36.46,34.24
Sao Tome and Principe,2.93,55.83,50.73
Suriname,33.18,98.26,0.56
Slovak Republic,0.29,40.35,39.23
Slovenia,0.21,61.97,30.66
Sweden,0.54,68.92,7.44
Eswatini,2.81,34.34,71.05
Sint Maarten (Dutch part),,,
Seychelles,0.11,88.41,3.37
Syrian Arab Republic,,2.67,75.81
Turks and Caicos Islands,,36.21,1.05
Chad,21.96,3.77,39.66
East Asia & Pacific (IDA & IBRD countries),1.87,29.72,49.02
Europe & Central Asia (IDA & IBRD countries),6.14,38.79,28.43
Togo,16.44,3.09,70.23
Thailand,1.67,32.16,43.28
Tajikistan,5.69,2.97,34.14
Turkmenistan,17.42,8.78,72.01
Latin America & the Caribbean (IDA & IBRD countries),3.74,46.24,37.57
Timor-Leste,31.46,45.38,25.55
Middle East & North Africa (IDA & IBRD countries),15.44,2.52,22.84
Tonga,0.05,12.50,45.83
South Asia (IDA & IBRD),1.86,17.51,56.81
Sub-Saharan Africa (IDA & IBRD countries),9.25,27.56,43.69
Trinidad and Tobago,7.70,46.02,10.53
Tunisia,2.41,6.77,64.84
Turkey,0.36,15.35,49.80
Tuvalu,0.00,33.33,60.00
Tanzania,6.62,51.58,44.76
Uganda,13.86,9.68,71.89
Ukraine,4.00,16.71,71.67
Upper middle income,3.61,34.58,35.37
Uruguay,1.65,10.67,82.56
United States,0.47,33.93,44.37
Uzbekistan,14.69,7.54,62.93
St. Vincent and the Grenadines,0.04,69.23,25.64
"Venezuela, RB",,52.74,24.49
British Virgin Islands,,24.13,46.67
Virgin Islands (U.S.),,49.97,11.43
Vietnam,2.86,48.06,39.28
Vanuatu,0.79,36.10,15.34
World,2.15,30.72,37.43
Samoa,0.45,60.42,12.37
Kosovo,0.76,,
"Yemen, Rep.",1.95,1.04,44.60
South Africa,5.14,7.62,79.83
Zambia,15.95,65.20,32.06
Zimbabwe,7.03,35.54,41.88